manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Elektron,Digitakt II,Track parameters,Mute,,94,,0,127,1,101,0,127,0-based,,
Elektron,Digitakt II,Track parameters,Track level,,95,,0,127,1,100,0,127,0-based,,
Elektron,Digitakt II,Track parameters,Pattern Mute,,110,,0,127,1,104,0,127,0-based,,
Elektron,Digitakt II,Trig parameters,Trig note,,3,,0,127,3,0,0,127,0-based,,
Elektron,Digitakt II,Trig parameters,Trig velocity,,4,,0,127,3,1,0,127,0-based,,
Elektron,Digitakt II,Trig parameters,Trig length,,5,,0,127,3,2,0,127,0-based,,
Elektron,Digitakt II,Trig parameters,Filter trig,,13,,0,127,,,,,0-based,,
Elektron,Digitakt II,Trig parameters,LFO trig,,14,,0,127,,,,,0-based,,
Elektron,Digitakt II,Trig parameters,Portamento time,,9,,0,127,3,7,0,127,0-based,,
Elektron,Digitakt II,Trig parameters,Portamento on/off,,65,,0,127,3,8,0,127,0-based,,
Elektron,Digitakt II,Source parameters,Source tune,,16,,0,127,1,0,0,127,0-based,,
Elektron,Digitakt II,Source parameters,Source play mode,,17,,0,127,1,1,0,127,0-based,,
Elektron,Digitakt II,Source parameters,Sample bank select,,24,,0,127,1,9,0,127,0-based,,
Elektron,Digitakt II,Source parameters,Sample slot select,,19,,0,127,1,8,0,127,0-based,,
Elektron,Digitakt II,Source parameters,Data entry knob E,,20,,0,127,1,4,0,127,0-based,,
Elektron,Digitakt II,Source parameters,Data entry knob F,,21,,0,127,1,5,0,127,0-based,,
Elektron,Digitakt II,Source parameters,Data entry knob G,,22,,0,127,1,6,0,127,0-based,,
Elektron,Digitakt II,Source parameters,Sample level,,23,,0,127,1,7,0,127,0-based,,
Elektron,Digitakt II,Filter parameters,Filter frequency,,74,,0,127,1,20,0,127,0-based,,
Elektron,Digitakt II,Filter parameters,Data entry knob F,,75,,0,127,1,21,0,127,0-based,,
Elektron,Digitakt II,Filter parameters,Data entry knob G,,76,,0,127,1,22,0,127,0-based,,
Elektron,Digitakt II,Filter parameters,Filter env depth,,77,,0,127,1,23,0,127,0-based,,
Elektron,Digitakt II,Filter parameters,Filter attack time,,70,,0,127,1,16,0,127,0-based,,
Elektron,Digitakt II,Filter parameters,Filter decay time,,71,,0,127,1,17,0,127,0-based,,
Elektron,Digitakt II,Filter parameters,Filter sustain level,,72,,0,127,1,18,0,127,0-based,,
Elektron,Digitakt II,Filter parameters,Filter release time,,73,,0,127,1,19,0,127,0-based,,
Elektron,Digitakt II,Filter parameters,Filter env delay,,91,,0,127,1,23,0,127,0-based,,
Elektron,Digitakt II,Filter parameters,Filter key tracking,,92,,0,127,1,69,0,127,0-based,,
Elektron,Digitakt II,Filter parameters,Filter base,,26,,0,127,1,51,0,127,0-based,,
Elektron,Digitakt II,Filter parameters,Filter width,,27,,0,127,1,52,0,127,0-based,,
Elektron,Digitakt II,Filter parameters,Filter env reset,,111,,0,127,1,68,0,127,0-based,,
Elektron,Digitakt II,Amp parameters,Amp attack time,,79,,0,127,1,30,0,127,0-based,,
Elektron,Digitakt II,Amp parameters,Amp hold time,,80,,0,127,1,31,0,127,0-based,,
Elektron,Digitakt II,Amp parameters,Amp decay time,,81,,0,127,1,32,0,127,0-based,,
Elektron,Digitakt II,Amp parameters,Amp sustain level,,82,,0,127,1,33,0,127,0-based,,
Elektron,Digitakt II,Amp parameters,Amp release time,,83,,0,127,1,34,0,127,0-based,,
Elektron,Digitakt II,Amp parameters,Amp env reset,,88,,0,127,1,41,0,127,0-based,,
Elektron,Digitakt II,Amp parameters,Amp mode,,87,,0,127,1,40,0,127,0-based,,
Elektron,Digitakt II,Amp parameters,Amp pan,,90,,0,127,1,38,0,127,0-based,,
Elektron,Digitakt II,Amp parameters,Amp volume,,89,,0,127,1,39,0,127,0-based,,
Elektron,Digitakt II,Euclidean sequencer,Pulse generator 1,,,,,3,8,0,127,0-based,,
Elektron,Digitakt II,Euclidean sequencer,Pulse generator 2,,,,,3,9,0,127,0-based,,
Elektron,Digitakt II,Euclidean sequencer,Euclidean mode on/off,,,,,3,14,0,127,0-based,,
Elektron,Digitakt II,Euclidean sequencer,Rotation generator 1,,,,,3,11,0,127,0-based,,
Elektron,Digitakt II,Euclidean sequencer,Rotation generator 2,,,,,3,12,0,127,0-based,,
Elektron,Digitakt II,Euclidean sequencer,Track rotation,,,,,3,13,0,127,0-based,,
Elektron,Digitakt II,Euclidean sequencer,Boolean operator,,,,,3,10,0,127,0-based,,
Elektron,Digitakt II,FX parameters,Bit reduction,,54,,0,127,,,,,0-based,,
Elektron,Digitakt II,FX parameters,Overdrive,,57,,0,127,,,,,0-based,,
Elektron,Digitakt II,FX parameters,Sample rate reduction,,55,,0,127,,,,,0-based,,
Elektron,Digitakt II,FX parameters,SRR routing,,56,,0,127,,,,,0-based,,
Elektron,Digitakt II,FX parameters,Delay send,,84,,0,127,1,36,0,127,0-based,,
Elektron,Digitakt II,FX parameters,Reverb send,,85,,0,127,1,37,0,127,0-based,,
Elektron,Digitakt II,FX parameters,Chorus send,,12,,0,127,1,35,0,127,0-based,,
Elektron,Digitakt II,LFO1 parameters,LFO1 speed,,102,58,0,127,1,42,0,127,0-based,,
Elektron,Digitakt II,LFO1 parameters,LFO1 multiplier,,103,,0,127,1,43,0,127,0-based,,
Elektron,Digitakt II,LFO1 parameters,LFO1 fade in/out,,104,,0,127,1,44,0,127,0-based,,
Elektron,Digitakt II,LFO1 parameters,LFO1 destination,,105,,0,127,1,45,0,127,0-based,,
Elektron,Digitakt II,LFO1 parameters,LFO1 waveform,,106,,0,127,1,46,0,127,0-based,,
Elektron,Digitakt II,LFO1 parameters,LFO1 start phase,,107,,0,127,1,47,0,127,0-based,,
Elektron,Digitakt II,LFO1 parameters,LFO1 trig mode,,108,,0,127,1,48,0,127,0-based,,
Elektron,Digitakt II,LFO1 parameters,LFO1 depth,,109,,0,127,1,49,0,127,0-based,,
Elektron,Digitakt II,LFO2 parameters,LFO2 speed,,112,60,0,127,1,50,0,127,0-based,,
Elektron,Digitakt II,LFO2 parameters,LFO2 multiplier,,113,,0,127,1,51,0,127,0-based,,
Elektron,Digitakt II,LFO2 parameters,LFO2 fade in/out,,114,,0,127,1,52,0,127,0-based,,
Elektron,Digitakt II,LFO2 parameters,LFO2 destination,,115,,0,127,1,53,0,127,0-based,,
Elektron,Digitakt II,LFO2 parameters,LFO2 waveform,,116,,0,127,1,54,0,127,0-based,,
Elektron,Digitakt II,LFO2 parameters,LFO2 start phase,,117,,0,127,1,55,0,127,0-based,,
Elektron,Digitakt II,LFO2 parameters,LFO2 trig mode,,118,,0,127,1,56,0,127,0-based,,
Elektron,Digitakt II,LFO2 parameters,LFO2 depth,,119,61,0,127,1,57,0,127,0-based,,
Elektron,Digitakt II,LFO3 parameters,LFO3 speed,,78,62,0,127,1,58,0,127,0-based,,
Elektron,Digitakt II,LFO3 parameters,LFO3 multiplier,,52,,0,127,1,59,0,127,0-based,,
Elektron,Digitakt II,LFO3 parameters,LFO3 fade in/out,,53,,0,127,1,60,0,127,0-based,,
Elektron,Digitakt II,LFO3 parameters,LFO3 destination,,28,,0,127,1,61,0,127,0-based,,
Elektron,Digitakt II,LFO3 parameters,LFO3 waveform,,29,,0,127,1,62,0,127,0-based,,
Elektron,Digitakt II,LFO3 parameters,LFO3 start phase,,30,,0,127,1,70,0,127,0-based,,
Elektron,Digitakt II,LFO3 parameters,LFO3 trig mode,,31,,0,127,1,71,0,127,0-based,,
Elektron,Digitakt II,LFO3 parameters,LFO3 depth,,86,63,0,127,1,72,0,127,0-based,,
Elektron,Digitakt II,FX parameters - delay,FX delay time,,21,,0,127,2,0,0,127,0-based,,
Elektron,Digitakt II,FX parameters - delay,FX pingpong,,22,,0,127,2,1,0,127,0-based,,
Elektron,Digitakt II,FX parameters - delay,FX stereo width,,23,,0,127,2,2,0,127,0-based,,
